Code,KOSPI,WICS,Stock
720,건설업,건설,현대건설
210,건설업,건설,대림산업
6360,건설업,건설,GS건설
9410,건설업,건설,태영건설
294870,건설업,건설,HDC현대산업개발
47040,건설업,건설,대우건설
51600,건설업,전기유틸리티,한전KPS
18880,기계,자동차부품,한온시스템
34020,기계,기계,두산중공업
241560,기계,기계,두산밥캣
42670,기계,기계,두산인프라코어
17800,기계,기계,현대엘리베이
79550,기계,우주항공과국방,LIG넥스원
105560,기타금융업,은행,KB금융
34730,기타금융업,복합기업,SK
3550,기타금융업,복합기업,LG
55550,기타금융업,은행,신한지주
86790,기타금융업,은행,하나금융지주
316140,기타금융업,은행,우리금융지주
8930,기타금융업,제약,한미사이언스
71050,기타금융업,증권,한국금융지주
29780,기타금융업,카드,삼성카드
4990,기타금융업,식품,롯데지주
78930,기타금융업,석유와가스,GS
1040,기타금융업,복합기업,CJ
138930,기타금융업,은행,BNK금융지주
4800,기타금융업,복합기업,효성
240,기타금융업,자동차부품,한국테크놀로지그룹
6260,기타금융업,전기장비,LS
6120,기타금융업,석유와가스,SK디스커버리
1800,기타금융업,식품,오리온홀딩스
12630,기타금융업,건설,HDC
192400,기타금융업,가정용기기와용품,쿠쿠홀딩스
640,기타금융업,제약,동아쏘시오홀딩스
70,기타금융업,식품,삼양홀딩스
27410,기타금융업,백화점과일반상점,BGF
60980,기타금융업,자동차부품,한라홀딩스
33780,미분류,담배,KT&G
241590,미분류,섬유/의류/신발/호화품,화승엔터프라이즈
32830,보험업,생명보험,삼성생명
810,보험업,손해보험,삼성화재
5830,보험업,손해보험,DB손해보험
1450,보험업,손해보험,현대해상
88350,보험업,생명보험,한화생명
3670,비금속광물,화학,포스코케미칼
3410,비금속광물,건축자재,쌍용양회
10780,비금속광물,건설,아이에스동서
6390,비금속광물,건축자재,한일현대시멘트
35420,서비스업,양방향미디어와서비스,NAVER
35720,서비스업,양방향미디어와서비스,카카오
36570,서비스업,게임엔터테인먼트,엔씨소프트
251270,서비스업,게임엔터테인먼트,넷마블
18260,서비스업,IT서비스,삼성에스디에스
21240,서비스업,가정용기기와용품,코웨이
35250,서비스업,호텔/레스토랑/레저,강원랜드
12750,서비스업,상업서비스와공급품,에스원
28050,서비스업,건설,삼성엔지니어링
30000,서비스업,광고,제일기획
192080,서비스업,게임엔터테인먼트,더블유게임즈
32350,서비스업,호텔/레스토랑/레저,롯데관광개발
5250,서비스업,제약,녹십자홀딩스
214320,서비스업,광고,이노션
284740,서비스업,가정용기기와용품,쿠쿠홈시스
79160,서비스업,방송과엔터테인먼트,CJ CGV
114090,서비스업,호텔/레스토랑/레저,GKL
150,서비스업,복합기업,두산
52690,서비스업,전기유틸리티,한전기술
19680,서비스업,교육서비스,대교
7700,섬유의복,섬유/의류/신발/호화품,F&F
20000,섬유의복,섬유/의류/신발/호화품,한섬
105630,섬유의복,섬유/의류/신발/호화품,한세실업
93050,섬유의복,섬유/의류/신발/호화품,LF
5380,운수장비,자동차,현대차
12330,운수장비,자동차부품,현대모비스
270,운수장비,자동차,기아차
9540,운수장비,조선,한국조선해양
10140,운수장비,조선,삼성중공업
42660,운수장비,조선,대우조선해양
47810,운수장비,우주항공과국방,한국항공우주
64350,운수장비,기계,현대로템
204320,운수장비,자동차부품,만도
12450,운수장비,우주항공과국방,한화에어로스페이스
10620,운수장비,조선,현대미포조선
11210,운수장비,자동차부품,현대위아
64960,운수장비,자동차부품,S&T모티브
86280,운수창고업,항공화물운송과물류,현대글로비스
180640,운수창고업,항공사,한진칼
120,운수창고업,항공화물운송과물류,CJ대한통운
3490,운수창고업,항공사,대한항공
28670,운수창고업,해운사,팬오션
11200,운수창고업,해운사,HMM
20560,운수창고업,항공사,아시아나항공
