,Unnamed: 0,Date,Title,Summary,Url,Label
0,0,2019-01-01 10:12,새해에도 바닥다지기 지속랠리 촉매제 필요,랠리를 위해서는 구체적인 촉매제가 필요하며 연방정부 셧다운 미중간 무역협상 등 불확실성들에 대한 경계감을 가져야한다는 지적이다일 다우존스산업평균지수는 전일대비 포인트 상승한 만으로 거래를 마쳤다지수는 전일대비 포인트 오른 로 장을 끝냈다,https://finance.naver.com/news/news_read.nhn?article_id=0004154072&office_id=008&mode=mainnews&type=&date=2019-01-01&page=1,-1.0
1,1,2019-01-01 8:24,마지막 날 웃었지만,뉴욕증권거래소 뉴욕증권거래소미국 뉴욕증시의 주요 지수는 올 해 마지막 날인 일 미국과 중국 간 무역협상 기대감에 상승했지만 년 강세장을 마감하며 월 수익률은 최악의 기록이 속출했다다우존스산업평균지수는 이날 뉴욕증권거래소에서 포인트 상승한 에 거래를 마쳤다스탠더드앤드푸어스  지수는 포인트 오른 에 기술주 중심의 나스닥 지수는 포인트 상승한 에 장을 마감했다다우지수와 지수의 월 하락률은  로 년 이후 가장 나빴다,https://finance.naver.com/news/news_read.nhn?article_id=0003476631&office_id=011&mode=mainnews&type=&date=2019-01-01&page=1,-1.0
2,2,2019-01-01 7:39,대 지수 년 이후 최악의 해다우 연간,하지만 대 주요 지수는 올해 대 하락하며 금융위기 이후 년 만에 최악의 연간 수익률을 기록했다일 다우존스산업평균지수는 전일대비 포인트 상승한 만으로 거래를 마쳤다 하지만 연간으로는  오르며 년  상승 이후 최대의 상승률을 기록했다달러는 미중간 무역협상 기대감에 약세를 보였다 하지만 유가는 올해 연간으로는  이상 떨어졌다이날 뉴욕상업거래소에서 월분 서부텍사스산원유는 전일대비 배럴당 센트 상승한 달러로 거래를 마쳤다,https://finance.naver.com/news/news_read.nhn?article_id=0004154001&office_id=008&mode=mainnews&type=&date=2019-01-01&page=1,-1.0
3,3,2019-01-01 3:23,파리 오르고 런던 내리고혼조 마감,종합 경제정보 미디어 이데일리  무단전재  재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004282938&office_id=018&mode=mainnews&type=&date=2019-01-01&page=1,-1.0
4,4,2019-01-02 18:00,지표부진에 발목선 간신히 방어,한국거래소 제공   증권파생상품시장 개장식  한국거래소는 일 서울 여의도 사옥 홍보관에서 년도 증권파생상품시장 개장식을 개최했다 왼쪽부터 김재철 코스닥협회장 권용원 금융투자협회장 최종구 금융위원장 정지원 한국거래소 이사장 정구용 상장회사협의회장 김군호 코넥스협회장 왼쪽부터 김재철 코스닥협회장 권용원 금융투자협회장 최종구 금융위원장 정지원 한국거래소 이사장 정구용 상장회사협의회장 김군호 코넥스협회장,https://finance.naver.com/news/news_read.nhn?article_id=0004072015&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
5,5,2019-01-02 17:59,신흥국 증시 반등에 베팅하는 국내 투자자들,주식형펀드 설정액석달 새 억원 증가베트남인도펀드도 순유입상반기 낙폭 만회 기대감추세 반전 가능성은 글쎄  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004072011&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1,0.0
6,6,2019-01-02 17:57,포스코켐텍에코프로 등 차전지 소재 주목,올해 증시 빛낼 테마 성큼 다가온 전기차 시대년 전기차 판매량 만대년보다 배 증가 전망 자국 업체 보조금 축소수익성 악화로 한국 업체 수혜대형 배터리 제조보다는 음극재 등 생산하는 소재가 유망  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004072007&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1,1.0
7,7,2019-01-02 17:53,철강 한파목표가 줄줄이 하향,수요부진 속  철강가격 약세포스코 년개월만에 최저가  모바일한경 구독신청  한국경제    무단전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004071998&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1,1.0
9,9,2019-01-02 17:16,제조업 위축 우려에 증시 부진한 새해 첫날,이경민 대신증권 연구원은 중국의 경기둔화 이슈가 장기화될 가능성은 높지 않다며 중국이 적극적인 경기부양 의지를 보인 만큼 가시적인 부양책들이 공개될 것이라고 내다봤다이 연구원은 이달부터 지방채 발행이 재개되고 개인소득세와 주택임대대출 이자도 감면된다며 소득 증대와 인프라투자 확대 등에 관한 기대감을 자극할 수 있다고 덧붙였다조만간 트럼프 대통령이 공화당민주당 대표를 백악관에 초청해 예산안 관련 논의를 할 것이라는 소식도 국내 증시에는 호재성 재료다,https://finance.naver.com/news/news_read.nhn?article_id=0000423694&office_id=366&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
10,10,2019-01-02 17:12,부진 때문에원달러 환율 예상 밖 상승,일 서울외환시장에서 원달러 환율 변동 추이 자료마켓포인트 제공종합 경제정보 미디어 이데일리  무단전재  재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0004284255&office_id=018&mode=mainnews&type=&date=2019-01-02&page=1,0.0
11,11,2019-01-02 16:21,생각보다 경기 침체 빠르다 우르르 무너진 증시,미중 무역전쟁 여파가 본격화 하면서 중국 경제를 이끌던 제조업이 붕괴하는 신호라는 분석이 나온다마가렛 양 마켓 애널리스트는 아시아 증시가 중국 차이신 제조업 지수에 실망해 또다른 추락의 영역으로 진입했다면서 무역전쟁으로 인해 세계 경기가 둔화할 것이란 전망이 생각보다 더 빠르게 현실화하고 있다고 설명했다일본 증시는 신년 연휴로 일 휴장한다,https://finance.naver.com/news/news_read.nhn?article_id=0004154836&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
12,12,2019-01-02 16:00,월효과 기대 낮춰야년 초반장세 안갯속,지난해 월 증시가 부진한 상황에서 국내 수급의 버팀목 역할을 했던 금융투자의 배당주 매수가 매물로 쏟아지면서 연초 증시 반등의 발목을 잡은 것이다최창규 투자증권 투자전략팀장은 금융투자는 지난해 월 동시만기 이후 대부분 순매수를 기록하며 사모펀드와 함께 현물시장의 수급 모멘텀으로 작용했다며 이는 연말 배당을 겨냥한 차익거래로 연초 증시에 부메랑 효과로 돌아와 부담 요인이 될 것이라고 설명했다정확한 집계는 쉽지 않지만 약 조원 가량의 차익매수가 유입된 것으로 추정되고 있다,https://finance.naver.com/news/news_read.nhn?article_id=0004154815&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
13,13,2019-01-02 15:53,첫 거래일 실망스런 코스피  밀리며 선 후퇴,상하한가는 없었다이날 코스닥 지수는 포인트 내린 에 마감했다코스닥 시장에서는 외국인과 기관이 각각 억원 억원 순매도를 기록했다,https://finance.naver.com/news/news_read.nhn?article_id=0004154810&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1,-1.0
14,14,2019-01-02 11:57,개성공단금강산 남북경협주 김정은 신년사 효과 볼까,김정은 북한 국무위원장이 올해 신년사에서 전제 조건과 대가 없는 개성공단과 금강산 관광을 재개할 용의가 있다고 밝히면서 국내 주식시장의 남북 경제협력 관련주에 다시 관심이 쏠리고 있다 김정은 위원장의 올해 답방 가능성이 아직 살아있는 점도 호재다증시 전문가들은 이번 김 위원장의 신년사로 남북 경협주에 대한 투자심리가 개선될 것으로 내다보면서도 현재 교착상태에 빠진 북미 대화가 선행돼야 실질적인 모멘텀으로 이어질 것이라고 평가했다일 증권업계는 김 위원장이 개성공단과 금강산을 언급한 점에 주목했다유승민 삼성증권 투자전략팀장은 김 위원장이 경협 프로젝트로 특정 지역과 사업을 언급한 것은 이례적이라며 시간이 걸릴 수 있는 투자보다 당장 현실성이 있는 전략적 선택을 한 것이다고 분석했다서상영 키움증권 연구원도 김 위원장이 남북 철도 연계와 대규모 사회간접자본 사업 북한의 생활상을 개선하기 위한 경공업 발전을 언급한 점이 특징이라며 철도 및 건설 개성공단과 금강산 관광 관련 종목들의 투자심리가 개선될 것이라고 내다봤다그러나 김 위원장의 신년사 내용이 향후 경협주의 추세적 반등을 가져올 만큼 강한 동력으로 작용하기는 어렵다는 회의적인 평가도 나온다김영환 증권 연구원은 김 위원장의 신년사가 여전히 북한의 비핵화와 개방 의지를 보여주고 있어 장기적으로 경협주에 긍정적이라는 점은 동의하지만 단기적으로 강한 모멘텀이 작용하기는 쉽지 않다고 말했다 그 이유로 김 연구원은 유엔을 비롯한 국제사회의 대북 경제제재를 꼽았다김 위원장은 이번에 차 북미정상회담 가능성을 시사하면서도 미국의 상응조치를 요구했고 도널드 트럼프 미국 대통령 역시 신년사에서 북한 문제를 서두르지 않는다며 속도조절론을 재확인했다 이 때문에 차 북미정상회담까지 다소 시간이 걸릴 것이란 전망이 나온다지난해에도 남북 경협주는 남북정상회담과 북미정상회담 등 평화무드에 힘입어 숨가쁘게 랠리를 펼쳤지만 시간이 갈수록 모멘텀이 떨어지면서 투자자들의 관심에서도 멀어졌다평양에서 남북정상회담이 열린 지난해 월 남북은 동서해안의 철도 도로 착공과 개성공단 재가동 금강산 관광 정상화 등 경제협력 내용을 구체화했지만 경협주는 소폭 상승에 그치거나 오히려 하락했다정상회담 날짜가 발표된 지난해 월 일부터 정상회담이 끝난 일까지 금강산 사업 관련주인 현대엘리베이터와 아난티가 각각   올랐을 뿐 개성공단 입주 기업들의 주가는 차 정상회담 때보다 빛을 보지 못했다김영환 연구원은 경제제재가 해제되지 않는 이상 남북관계 개선이 남북경협의 본격 추진으로 이어지기는 힘들다며 제재 해제를 위해선 남북보다 북미 대화가 더욱 중요한 사안인데 북미 대화 교착은 지속될 것으로 보여 관련주에 모멘텀이 길게 이어지기는 어렵다고 전망했다김현일최준선 기자   헤럴드경제   무단 전재 및 재배포 금지,https://finance.naver.com/news/news_read.nhn?article_id=0001482675&office_id=016&mode=mainnews&type=&date=2019-01-02&page=1,1.0
15,15,2019-01-02 11:57,산타랠리 없었는데월효과도 어렵다,높아진 밸류에이션과 새해에 대한 기대감 기관투자자들의 포트폴리오 조정 등으로 연초 증시가 상승할 것이라는 기대감이 커지고 있지만 일각에서는 연말 산타 랠리가 사라진 데 이어 월 효과도 기대하기 어렵다는 우려섞인 전망이 나온다일 한국거래소에 따르면 지난 년 동안 코스피와 코스닥의 월 평균 상승률은 각각  였다,https://finance.naver.com/news/news_read.nhn?article_id=0001482676&office_id=016&mode=mainnews&type=&date=2019-01-02&page=1,1.0
